Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44144.00,EQ,3204.00,3290.00,3200.00,3168.25,3286.20,3279.55,3250.82,3512.70,1210.00,313385.00,1018759484.85,32370.00
44141.00,EQ,3179.00,3229.90,3140.00,3179.00,3165.00,3168.25,3185.12,3512.70,1210.00,263716.00,839965816.30,28604.00
44140.00,EQ,3039.05,3189.00,3039.05,3039.05,3157.00,3179.00,3150.74,3512.70,1210.00,379717.00,1196387723.35,47661.00
44139.00,EQ,2950.00,3069.35,2945.00,2936.35,3038.00,3039.05,3038.01,3512.70,1210.00,337813.00,1026280264.50,39699.00
44138.00,EQ,2880.90,2999.00,2865.00,2853.10,2945.00,2936.35,2929.67,3512.70,1210.00,311155.00,911581432.15,47599.00
44137.00,EQ,2900.00,2955.00,2831.00,2918.50,2853.10,2853.10,2883.15,3512.70,1210.00,279552.00,805989258.55,38590.00
44134.00,EQ,2933.20,2983.80,2891.00,2933.20,2910.00,2918.50,2940.82,3512.70,1210.00,275918.00,811425050.00,33860.00
44133.00,EQ,2879.95,2949.90,2826.75,2889.20,2933.85,2933.20,2887.87,3512.70,1210.00,356589.00,1029784070.65,32144.00
44132.00,EQ,2915.00,2948.80,2874.60,2898.75,2890.00,2889.20,2900.76,3512.70,1210.00,339973.00,986178888.75,45375.00
44131.00,EQ,3026.15,3026.15,2891.05,2999.20,2908.00,2898.75,2922.07,3512.70,1210.00,473219.00,1382778059.25,56335.00
44130.00,EQ,3085.00,3102.00,2975.75,3061.15,3020.00,2999.20,3041.03,3512.70,1210.00,191707.00,582987263.60,30064.00
44127.00,EQ,3078.90,3105.75,3041.10,3052.00,3060.00,3061.15,3078.59,3512.70,1210.00,204880.00,630740730.75,33708.00
44126.00,EQ,3111.50,3133.90,3031.15,3099.85,3055.10,3052.00,3088.64,3512.70,1210.00,407236.00,1257806267.20,62488.00
44125.00,EQ,2989.00,3139.00,2989.00,2964.80,3105.00,3099.85,3093.73,3512.70,1210.00,968678.00,2996823519.75,106790.00
44124.00,EQ,3025.00,3092.00,2951.00,3015.25,2959.00,2964.80,3012.05,3512.70,1210.00,458862.00,1382114022.30,46214.00
44123.00,EQ,3090.35,3145.20,2961.20,3075.15,3040.00,3015.25,3021.29,3512.70,1210.00,481161.00,1453728859.15,58279.00
44120.00,EQ,3325.00,3364.50,3025.10,3296.45,3100.00,3075.15,3170.76,3512.70,1210.00,796043.00,2524061095.50,93157.00
44119.00,EQ,3306.20,3389.00,3195.00,3330.55,3307.00,3296.45,3290.65,3512.70,1210.00,606071.00,1994365953.90,85366.00
